;Query.accession;Query.sequence.length;Subject.seq.id;Subject.accession;Subject.sequence.length;evalue;Bit.Score;Raw.Score;Alignment.length;Percentage.of.identical.matches;Number.of.identical.matches;Number.of.mismatches;Number.of.positive.scoring.matches;Total.number.of.gaps;Taxonomy.ID;Scientific.name;Subject.blast.name;Subject.common.name;Domain;Phylum;Class;Order;Family;Genus;Species
1508;ASV_0023;197;gi|557468810|gb|KF570360.1|;KF570360;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1509;ASV_0023;197;gi|557468796|gb|KF570359.1|;KF570359;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1510;ASV_0023;197;gi|557468782|gb|KF570358.1|;KF570358;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1511;ASV_0023;197;gi|557468768|gb|KF570357.1|;KF570357;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1512;ASV_0023;197;gi|557468754|gb|KF570356.1|;KF570356;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1513;ASV_0023;197;gi|557468740|gb|KF570355.1|;KF570355;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1514;ASV_0023;197;gi|557468726|gb|KF570354.1|;KF570354;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1515;ASV_0023;197;gi|557468712|gb|KF570353.1|;KF570353;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1516;ASV_0023;197;gi|557468572|gb|KF570343.1|;KF570343;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1517;ASV_0023;197;gi|557468558|gb|KF570342.1|;KF570342;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1518;ASV_0023;197;gi|557468544|gb|KF570341.1|;KF570341;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1519;ASV_0023;197;gi|557468530|gb|KF570340.1|;KF570340;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1520;ASV_0023;197;gi|557468516|gb|KF570339.1|;KF570339;16383;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1521;ASV_0023;197;gi|557468502|gb|KF570338.1|;KF570338;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1522;ASV_0023;197;gi|557468488|gb|KF570337.1|;KF570337;16384;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1523;ASV_0023;197;gi|251733276|dbj|AB481388.1|;AB481388;773;6.68E-96;364;197;197;100;197;0;197;0;9728;Delphinus delphis;whales & dolphins;saddleback dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus delphis
1524;ASV_0023;197;gi|222839860|ref|NC_012061.1|;NC_012061;16385;6.68E-96;364;197;197;100;197;0;197;0;103584;Delphinus capensis;whales & dolphins;long-beaked common dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus capensis
1525;ASV_0023;197;gi|222839831|ref|NC_012058.1|;NC_012058;16385;6.68E-96;364;197;197;100;197;0;197;0;79784;Tursiops aduncus;whales & dolphins;Indo-pacific bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops aduncus
1526;ASV_0023;197;gi|195973563|gb|EU685096.1|;EU685096;546;6.68E-96;364;197;197;100;197;0;197;0;9728;Delphinus delphis;whales & dolphins;saddleback dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus delphis
1527;ASV_0023;197;gi|54873413|gb|AY770539.1|;AY770539;553;6.68E-96;364;197;197;100;197;0;197;0;103600;Sousa chinensis;whales & dolphins;Indo-pacific humpbacked dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Sousa;Sousa chinensis
1528;ASV_0023;197;gi|3063179307|dbj|LC863322.1|;LC863322;330;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1529;ASV_0023;197;gi|3063179304|dbj|LC863319.1|;LC863319;330;3.11E-94;359;194;197;99.492;196;1;196;0;9737;Stenella coeruleoalba;whales & dolphins;striped dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Stenella;Stenella coeruleoalba
1530;ASV_0023;197;gi|2926901306|gb|PP375138.1|;PP375138;16387;3.11E-94;359;194;197;99.492;196;1;196;0;9728;Delphinus delphis;whales & dolphins;saddleback dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus delphis
1531;ASV_0023;197;gi|2926901278|gb|PP375136.1|;PP375136;16387;3.11E-94;359;194;197;99.492;196;1;196;0;9728;Delphinus delphis;whales & dolphins;saddleback dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus delphis
1532;ASV_0023;197;gi|2771401105|gb|OQ274894.1|;OQ274894;14387;3.11E-94;359;194;197;99.492;196;1;196;0;2880878;Sousa plumbea;whales & dolphins;Indian Ocean humpback dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Sousa;Sousa plumbea
1533;ASV_0023;197;gi|2784311510|gb|PP623004.1|;PP623004;1720;3.11E-94;359;194;197;99.492;196;1;196;0;9728;Delphinus delphis;whales & dolphins;saddleback dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Delphinus;Delphinus delphis
1534;ASV_0023;197;gi|1278205637|gb|MF669486.1|;MF669486;16385;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1535;ASV_0023;197;gi|1102132991|gb|KU992030.1|;KU992030;562;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1536;ASV_0023;197;gi|1021313005|gb|KT601204.1|;KT601204;16387;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1537;ASV_0023;197;gi|1021312921|gb|KT601198.1|;KT601198;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1538;ASV_0023;197;gi|2532152678|gb|OR120222.1|;OR120222;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1539;ASV_0023;197;gi|2532152510|gb|OR120210.1|;OR120210;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1540;ASV_0023;197;gi|2532152482|gb|OR120208.1|;OR120208;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1541;ASV_0023;197;gi|2532152440|gb|OR120205.1|;OR120205;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1542;ASV_0023;197;gi|2532152412|gb|OR120203.1|;OR120203;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1543;ASV_0023;197;gi|2532152384|gb|OR120201.1|;OR120201;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1544;ASV_0023;197;gi|2532152356|gb|OR120199.1|;OR120199;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1545;ASV_0023;197;gi|2532152342|gb|OR120198.1|;OR120198;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1546;ASV_0023;197;gi|2532152328|gb|OR120197.1|;OR120197;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1547;ASV_0023;197;gi|2532152300|gb|OR120195.1|;OR120195;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1548;ASV_0023;197;gi|2532152286|gb|OR120194.1|;OR120194;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1549;ASV_0023;197;gi|2532152272|gb|OR120193.1|;OR120193;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1550;ASV_0023;197;gi|2532152258|gb|OR120192.1|;OR120192;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1551;ASV_0023;197;gi|2532152244|gb|OR120191.1|;OR120191;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1552;ASV_0023;197;gi|2532152230|gb|OR120190.1|;OR120190;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1553;ASV_0023;197;gi|2532152118|gb|OR120182.1|;OR120182;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1554;ASV_0023;197;gi|2532152104|gb|OR120181.1|;OR120181;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1555;ASV_0023;197;gi|2532152090|gb|OR120180.1|;OR120180;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1556;ASV_0023;197;gi|2532152076|gb|OR120179.1|;OR120179;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1557;ASV_0023;197;gi|2532152062|gb|OR120178.1|;OR120178;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1558;ASV_0023;197;gi|2532152048|gb|OR120177.1|;OR120177;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1559;ASV_0023;197;gi|2532152034|gb|OR120176.1|;OR120176;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1560;ASV_0023;197;gi|2532152020|gb|OR120175.1|;OR120175;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1561;ASV_0023;197;gi|2532152006|gb|OR120174.1|;OR120174;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1562;ASV_0023;197;gi|2532151992|gb|OR120173.1|;OR120173;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1563;ASV_0023;197;gi|2532151978|gb|OR120172.1|;OR120172;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1564;ASV_0023;197;gi|2532151964|gb|OR120171.1|;OR120171;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1565;ASV_0023;197;gi|2532151950|gb|OR120170.1|;OR120170;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1566;ASV_0023;197;gi|2532151922|gb|OR120168.1|;OR120168;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1567;ASV_0023;197;gi|2532151908|gb|OR120167.1|;OR120167;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1568;ASV_0023;197;gi|2504581153|emb|OX596408.1|;OX596408;16385;3.11E-94;359;194;197;99.492;196;1;196;0;9737;Stenella coeruleoalba;whales & dolphins;striped dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Stenella;Stenella coeruleoalba
1569;ASV_0023;197;gi|2132868173|gb|MW183360.1|;MW183360;16387;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1570;ASV_0023;197;gi|557469216|gb|KF570389.1|;KF570389;16387;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
1571;ASV_0023;197;gi|557469174|gb|KF570386.1|;KF570386;16388;3.11E-94;359;194;197;99.492;196;1;196;0;9739;Tursiops truncatus;whales & dolphins;common bottlenose dolphin;Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
